step,loss,lrm,tok_per_sec
620,4.550987,1.0,30162
621,4.450892,1.0,30152
622,4.589197,1.0,30154
623,4.637074,1.0,30151
624,4.655274,1.0,30151
625,4.49512,1.0,30153
626,4.419351,1.0,30149
627,4.333984,1.0,27380
628,4.354282,1.0,30158
629,4.340136,1.0,29988
630,4.352771,1.0,28662
631,4.452828,1.0,30155
632,4.346358,1.0,30163
633,4.481004,1.0,30154
634,4.609394,1.0,30152
635,4.720504,1.0,30156
636,4.744994,1.0,30143
637,4.738832,1.0,30132
638,4.629644,1.0,30183
639,4.625425,1.0,30161
640,4.779856,1.0,30160
641,4.867166,1.0,30106
642,4.925516,1.0,28970
643,4.99996,1.0,30157
644,4.834432,1.0,30146
645,4.722581,1.0,30159
646,4.56403,1.0,30161
647,4.51817,1.0,30150
648,4.465814,1.0,30156
649,4.489292,1.0,30165
650,4.446466,1.0,30135
651,4.497806,1.0,30090
652,4.560518,1.0,30165
653,4.575266,1.0,30161
654,4.587365,1.0,30131
655,4.579573,1.0,27362
656,4.628081,1.0,30156
657,4.734543,1.0,30159
658,4.74626,1.0,30156
659,4.612537,1.0,29858
660,4.518408,1.0,30160
661,4.393532,1.0,30171
662,4.321281,1.0,30176
663,4.24796,1.0,30159
664,4.131688,1.0,30139
665,4.088914,1.0,30158
666,4.112827,1.0,30152
667,4.20082,1.0,30163
668,4.310295,1.0,30171
669,4.462308,1.0,30175
670,4.593671,1.0,29999
671,4.67368,1.0,30155
672,4.769396,1.0,30161
673,4.885683,1.0,30177
674,4.764296,1.0,30185
675,4.820966,1.0,30022
676,4.704441,1.0,28721
677,4.817,1.0,30156
678,4.81805,1.0,30160
679,4.897189,1.0,30148
680,4.731569,1.0,30095
681,4.628205,1.0,30159
682,4.547274,1.0,30160
683,4.405616,1.0,30160
684,4.269309,1.0,30146
685,4.270716,1.0,29885
686,4.262012,1.0,30185
687,4.322718,1.0,30161
688,4.465643,1.0,30169
689,4.608684,1.0,30167
690,4.690595,1.0,30057
691,4.583681,1.0,30162
692,4.510732,1.0,30148
693,4.513728,1.0,30168
694,4.656457,1.0,30163
695,4.577473,1.0,30161
696,4.469453,1.0,30161
697,4.384824,1.0,29927
698,4.388741,1.0,30123
699,4.499998,1.0,30160
700,4.525397,1.0,30158
701,4.50386,1.0,30160
702,4.3692,1.0,30163
703,4.330784,1.0,30158
704,4.487575,1.0,30161
705,4.564834,1.0,30171
706,4.67839,1.0,30163
707,4.78715,1.0,30152
708,4.793623,1.0,30160
709,4.90641,1.0,30160
710,4.858928,1.0,30178
711,4.686255,1.0,30157
712,4.517169,1.0,30148
713,4.489753,1.0,30156
714,4.514516,1.0,30161
715,4.630396,1.0,30153
716,4.72599,1.0,30151
717,4.732127,1.0,30158
718,4.824509,1.0,30164
719,4.887109,1.0,30160
720,4.927899,1.0,30147
721,4.890183,1.0,30127
722,4.813562,1.0,30169
723,4.80253,1.0,28591
724,4.728269,1.0,30159
725,4.717822,1.0,30155
726,4.689153,1.0,30155
727,4.639849,1.0,30025
728,4.539439,1.0,30163
729,4.501913,1.0,30164
730,4.387734,1.0,30154
731,4.503823,1.0,30158
732,4.598141,1.0,30156
733,4.697536,1.0,30172
734,4.774259,1.0,30153
735,4.615612,1.0,30159
736,4.538208,1.0,30160
737,4.426286,1.0,30165
738,4.343248,1.0,30079
739,4.501967,1.0,30152
740,4.531166,1.0,30163
741,4.493538,1.0,30162
742,4.403198,1.0,29727
743,4.547873,1.0,30142
744,4.556844,1.0,30151
745,4.468267,1.0,30163
746,4.401086,1.0,30129
747,4.384212,1.0,30156
748,4.32552,1.0,30150
749,4.474532,1.0,30163
750,4.45552,1.0,30153
751,4.579008,1.0,30162
752,4.442866,1.0,30157
753,4.391701,1.0,30165
754,4.386707,1.0,30156
755,4.429313,1.0,30151
756,4.574231,1.0,30156
757,4.680503,1.0,30159
758,4.732151,1.0,30148
759,4.84175,1.0,29880
760,4.907882,1.0,30162
761,4.966481,1.0,30165
762,4.957963,1.0,30155
763,5.017563,1.0,30156
764,5.054436,1.0,30079
765,5.071741,1.0,30154
766,5.155102,1.0,30158
767,5.199756,1.0,30166
768,5.054661,1.0,26165
769,4.87397,1.0,30179
770,4.799799,1.0,30166
771,4.780418,1.0,30127
772,4.881903,1.0,30157
773,4.889743,1.0,30159
774,4.856697,1.0,30162
775,4.783506,1.0,28176
776,4.655811,1.0,27993
777,4.598535,1.0,30161
778,4.646441,1.0,30157
779,4.722544,1.0,30157
780,4.551091,1.0,30154
781,4.598578,1.0,30179
782,4.529372,1.0,30153
783,4.414379,1.0,30162
784,4.373812,1.0,30168
785,4.27132,1.0,30158
786,4.21201,1.0,30122
787,4.13628,1.0,30170
788,4.069631,1.0,30158
789,4.077487,1.0,30165
790,4.014966,1.0,30159
791,3.949572,1.0,30161
792,4.023336,1.0,30135
793,4.183818,1.0,30180
794,4.259757,1.0,30163
795,4.38179,1.0,30167
796,4.422771,1.0,30160
797,4.284139,1.0,30119
798,4.263789,1.0,30151
799,4.138047,1.0,30147
800,4.045826,1.0,30152
801,3.980897,1.0,29537
802,4.018009,1.0,30154
803,4.074522,1.0,30083
804,4.16843,1.0,30162
805,4.328067,1.0,30184
806,4.353061,1.0,30174
807,4.466537,1.0,30159
808,4.480328,1.0,30160
809,4.385437,1.0,30142
810,4.303145,1.0,30159
811,4.222107,1.0,30158
812,4.204827,1.0,30152
813,4.317714,1.0,29897
814,4.30661,1.0,28643
815,4.443912,1.0,30162
816,4.504104,1.0,30156
817,4.50926,1.0,30176
818,4.466415,1.0,30166
819,4.383863,1.0,30156
820,4.288748,1.0,30156
821,4.282283,1.0,30153
822,4.229932,1.0,30123
823,4.276248,1.0,29815
824,4.284224,1.0,27442
825,4.199998,1.0,30168
826,4.346082,1.0,30071
827,4.425511,1.0,30149
828,4.588266,1.0,30162
829,4.612568,1.0,30171
830,4.66842,1.0,30150
831,4.790007,1.0,30152
832,4.772373,1.0,30149
833,4.824515,1.0,30150
834,4.776762,1.0,30165
835,4.77075,1.0,30177
836,4.855446,1.0,30161
837,4.819627,1.0,30141
838,4.775903,1.0,30168
839,4.6741,1.0,30064
840,4.696843,1.0,30086
841,4.686627,1.0,30184
842,4.616592,1.0,30166
843,4.549958,1.0,30155
844,4.424956,1.0,30159
845,4.379834,1.0,30147
846,4.34815,1.0,26258
847,4.275737,1.0,30172
848,4.220095,1.0,30152
849,4.189119,1.0,30153
850,4.080656,1.0,30157
851,4.148967,1.0,30157
852,4.069882,1.0,30163
853,4.083499,1.0,30174
854,4.07698,1.0,30063
855,4.184803,1.0,30158
856,4.139485,1.0,30159
857,4.120957,1.0,30152
858,4.041548,1.0,30167
859,3.975252,1.0,29585
860,3.979755,1.0,28826
861,4.076385,1.0,30180
862,4.211112,1.0,30165
863,4.036101,1.0,30153
864,4.107643,1.0,30167
865,4.028078,1.0,30178
866,4.041169,1.0,30160
867,4.051949,1.0,30156
868,4.056668,1.0,30156
869,4.188989,1.0,30084
870,4.306249,1.0,30152
871,4.219563,1.0,30156
872,4.208557,1.0,30161
873,4.121194,1.0,29532
874,4.062681,1.0,30155
875,4.051462,1.0,30158
876,4.124859,1.0,30173
877,4.257741,1.0,30193
878,4.381222,1.0,29799
879,4.31102,1.0,30191
880,4.436214,1.0,30174
881,4.454824,1.0,29755
882,4.493778,1.0,30043
883,4.61444,1.0,30177
884,4.493577,1.0,30196
885,4.501809,1.0,30185
886,4.62986,1.0,30190
887,4.619115,1.0,30054
888,4.706011,1.0,30136
889,4.630574,1.0,30154
890,4.478366,1.0,30174
891,4.34416,1.0,30183
892,4.366187,1.0,30146
893,4.23104,1.0,30169
894,4.094313,1.0,30179
895,4.058774,1.0,29239
896,4.022515,1.0,30166
897,4.019653,1.0,30165
898,3.969947,1.0,30167
899,3.936805,1.0,30166
900,3.867677,1.0,30130
901,3.779668,1.0,30168
902,3.953328,1.0,30168
903,3.821279,1.0,30174
904,3.730128,1.0,30170
905,3.774825,1.0,30157
906,3.753943,1.0,28696
907,3.853516,1.0,30162
908,3.80589,1.0,30168
909,3.71225,1.0,30160
910,3.620186,1.0,30160
911,3.611137,1.0,30162
912,3.591169,1.0,30162
913,3.653468,1.0,30139
914,3.70049,1.0,30167
915,3.689594,1.0,30108
916,3.708597,1.0,30160
917,3.635628,1.0,30163
918,3.596262,1.0,30110
919,3.747896,1.0,30157
920,3.933216,1.0,30151
921,4.088089,1.0,30089
922,4.087791,1.0,30149
923,4.021308,1.0,30151
924,4.156654,1.0,30155
925,4.273179,1.0,30075
926,4.376226,1.0,30164
927,4.226862,1.0,30164
928,4.132539,1.0,30176
929,4.133645,1.0,30170
930,4.01205,1.0,29864
931,3.958293,1.0,30175
932,3.882855,1.0,30173
933,3.853216,1.0,30171
934,3.970676,1.0,30170
935,3.963106,1.0,30137
936,3.892929,1.0,30166
937,3.942142,1.0,30091
938,3.89409,1.0,30169
939,3.910742,1.0,30161
940,4.069011,1.0,30173
941,3.922134,1.0,30162
942,4.055609,1.0,30080
943,4.054885,1.0,30165
944,4.11621,1.0,30159
945,4.006293,1.0,30150
946,3.96699,1.0,30151
947,4.11492,1.0,30149
948,4.259123,1.0,30180
949,4.145563,1.0,30170
950,4.084646,1.0,30167
951,4.012232,1.0,30150
952,3.947347,1.0,28723
953,3.907297,1.0,30061
954,3.857088,1.0,30162
955,3.865656,1.0,30158
956,3.778062,1.0,30162
957,3.838388,1.0,30155
958,3.917153,1.0,30156
959,4.082548,1.0,30172
960,4.221453,1.0,30162
961,4.315598,1.0,30165
962,4.268159,1.0,30176
963,4.348814,1.0,29909
964,4.496767,1.0,30160
965,4.404013,1.0,30092
966,4.342485,1.0,30159
967,4.24305,1.0,29921
968,4.176651,1.0,30156
969,4.104477,1.0,29997
970,4.225833,1.0,30078
971,4.24603,1.0,30165
972,4.346887,1.0,30154
973,4.488276,1.0,30169
974,4.414751,1.0,30182
975,4.356252,1.0,29976
976,4.35381,1.0,30169
977,4.431903,1.0,29797
978,4.407573,1.0,30159
979,4.446263,1.0,30156
980,4.289606,1.0,30173
981,4.310237,1.0,30173
982,4.389695,1.0,30178
983,4.280879,1.0,30170
984,4.178334,1.0,30164
985,4.06839,1.0,27236
986,3.989985,1.0,30174
987,3.861583,1.0,30153
988,3.835498,1.0,30160
989,3.780999,1.0,30152
990,3.824414,1.0,30160
991,3.895559,1.0,30174
992,3.900102,1.0,30172
